popularity_7d,avg_price,market_hash_name
60,0.009000016666666666,Dual Berettas | Contractor (Battle-Scarred)
5,1.565,MAG-7 | Sand Dune (Field-Tested)
0,0.0,AK-47 | Case Hardened (Minimal Wear)
0,0.0,MAC-10 | Graven (Battle-Scarred)
11,0.04490907272727273,P2000 | Granite Marbleized (Battle-Scarred)
0,0.0,Sticker | Calyx (Holo) | Copenhagen 2024
4,13.11075,SSG 08 | Tropical Storm (Field-Tested)
26,54.32219231538461,P90 | Cold Blooded (Factory New)
318,0.00904402893081761,SSG 08 | Blue Spruce (Field-Tested)
2,8.567,UMP-45 | Bone Pile (Minimal Wear)
2,2.0985,Five-SeveN | Contractor (Field-Tested)
123,0.5952357813008128,Glock-18 | Candy Apple (Factory New)
10,2.528,AUG | Colony (Field-Tested)
0,0.0,Galil AR | Orange DDPAT (Field-Tested)
0,0.0,Five-SeveN | Anodized Gunmetal (Minimal Wear)
211,0.28616589526066344,Desert Eagle | Urban Rubble (Field-Tested)
2,84.309,USP-S | Dark Water (Minimal Wear)
63,0.009746011111111112,SSG 08 | Blue Spruce (Battle-Scarred)
3,3.3573333,Sawed-Off | Irradiated Alert (Minimal Wear)
6,6.975166666666667,StatTrak™ UMP-45 | Bone Pile (Field-Tested)
0,0.0,StatTrak™ Galil AR | Sandstorm (Minimal Wear)
5,8.68459998,Galil AR | Shattered (Field-Tested)
2,5.843,Nova | Rising Skull (Factory New)
3,2.2386667,MAC-10 | Urban DDPAT (Field-Tested)
65,45.59227692461538,AWP | Redline (Field-Tested)
1,1.98,Nova | Forest Leaves (Field-Tested)
2,6.7415,StatTrak™ PP-Bizon | Water Sigil (Field-Tested)
0,0.0,StatTrak™ MAG-7 | Memento (Field-Tested)
1,10.89,M249 | Jungle DDPAT (Minimal Wear)
0,0.0,G3SG1 | Safari Mesh (Minimal Wear)
0,0.0,Nova | Walnut (Minimal Wear)
19,1.6771053000000002,Five-SeveN | Nightshade (Field-Tested)
9,10.0428889,UMP-45 | Caramel (Field-Tested)
4,2.114749975,PP-Bizon | Forest Leaves (Field-Tested)
5,1.41,StatTrak™ M249 | Magma (Field-Tested)
0,0.0,Sawed-Off | Irradiated Alert (Field-Tested)
0,0.0,MAC-10 | Urban DDPAT (Minimal Wear)
2,1.9605,XM1014 | Urban Perforated (Field-Tested)
4,4.109,FAMAS | Doomkitty (Field-Tested)
1,2.115,MAC-10 | Tornado (Field-Tested)
280,0.007835685,FAMAS | Colony (Field-Tested)
0,0.0,StatTrak™ Dual Berettas | Black Limba (Field-Tested)
3,3.4976667,FAMAS | Contrast Spray (Field-Tested)
0,0.0,StatTrak™ P250 | Splash (Minimal Wear)
62,0.008274201612903227,P250 | Boreal Forest (Battle-Scarred)
2,2.5315,Tec-9 | Tornado (Field-Tested)
61,0.010213131147540983,Nova | Sand Dune (Minimal Wear)
91,0.016252735164835167,Dual Berettas | Colony (Minimal Wear)
1,6.22,StatTrak™ G3SG1 | Demeter (Field-Tested)
0,0.0,FAMAS | Contrast Spray (Battle-Scarred)
0,0.0,Negev | Palm (Minimal Wear)
4,24.375749974999998,M4A4 | Zirka (Field-Tested)
0,0.0,Galil AR | Orange DDPAT (Minimal Wear)
11,3.0223636363636364,PP-Bizon | Irradiated Alert (Field-Tested)
1,4.846,SSG 08 | Mayan Dreams (Field-Tested)
41,0.007219512195121953,P90 | Sand Spray (Well-Worn)
