id,market_hash_name,avg_price
140226,Sticker | WorldEdit (Foil) | Cologne 2015,15.88
142756,Sticker | Flipsid3 Tactics | Cologne 2015,6.72
144251,Sticker | friberg (Foil) | Cluj-Napoca 2015,17.28
149211,Sticker | Xyp9x (Gold) | Cologne 2015,0.0
150384,Sticker | mousesports (Gold) | Cluj-Napoca 2015,0.0
55035,Sticker | Banana,1.63
1518482,Sticker | Ninjas in Pyjamas (Holo) | Katowice 2014,400.0
1752969,Sticker | Virtus.Pro (Holo) | Katowice 2014,500.0
1752971,Sticker | HellRaisers (Holo) | Katowice 2014,366.0
774478,Sticker | Fnatic (Foil) | Cologne 2014,0.0
775295,Sticker | reltuC | Cluj-Napoca 2015,5.68
780711,Sticker | device (Foil) | Cluj-Napoca 2015,24.83
806076,Sticker | NEO (Foil) | MLG Columbus 2016,49.48
810568,Sticker | Zeus (Foil) | MLG Columbus 2016,10.84
811719,Sticker | tarik (Gold) | Cologne 2015,0.0
813977,Sticker | SPUNJ | Cologne 2015,7.31
826041,Sticker | jkaem (Foil) | Cluj-Napoca 2015,8.02
826241,Sticker | fox (Foil) | MLG Columbus 2016,10.39
831502,Sticker | Team eBettle (Gold) | Cologne 2015,0.0
832632,Sticker | Harp of War (Holo),1490.0
836706,Sticker | olofmeister (Foil) | Cluj-Napoca 2015,19.49
836708,Sticker | flusha (Foil) | Cluj-Napoca 2015,11.88
1446217,Sticker | byali (Foil) | Cologne 2015,8.63
1449841,Sticker | Skadoodle (Gold) | Cologne 2015,0.0
1449842,Sticker | Team Kinguin (Gold) | Cologne 2015,0.0
1449843,Sticker | Cloud9 G2A (Gold) | Cologne 2015,0.0
1455236,Sticker | RpK (Foil) | MLG Columbus 2016,5.0
1456205,Sticker | GeT_RiGhT (Foil) | MLG Columbus 2016,16.83
1456264,Sticker | pashaBiceps (Foil) | Cluj-Napoca 2015,22.78
1466434,Sticker | Titan (Gold) | Cologne 2015,0.0
1511170,Sticker | markeloff (Gold) | MLG Columbus 2016,0.0
1514001,Sticker | NBK- (Foil) | Cluj-Napoca 2015,37.9
1514002,Sticker | kioShiMa (Foil) | Cluj-Napoca 2015,18.2
1515411,Sticker | GruBy | Cologne 2015,5.29
1534484,Sticker | hooch (Foil) | MLG Columbus 2016,10.13
1551620,Sticker | FugLy (Gold) | MLG Columbus 2016,0.0
1569726,Sticker | Spiidi (Foil) | Cologne 2015,12.43
1695703,Sticker | rain (Gold) | Cologne 2015,0.0
1706897,Sticker | NiKo (Gold) | MLG Columbus 2016,0.0
1719050,Sticker | tarik | Cluj-Napoca 2015,6.66
1719281,Sticker | boltz (Foil) | Cologne 2015,21.61
1729160,Sticker | reltuC (Foil) | MLG Columbus 2016,16.26
1752076,Sticker | chrisJ (Foil) | Cologne 2015,18.21
150387,Sticker | NiKo (Gold) | Cluj-Napoca 2015,0.0
160963,Sticker | shroud | Cluj-Napoca 2015,17.44
168693,Sticker | allu (Foil) | Cologne 2015,15.03
168727,Sticker | One Shot One Kill,1.86
171496,Sticker | pronax | Cluj-Napoca 2015,4.86
178485,Sticker | Counter Logic Gaming (Gold) | Cologne 2015,0.0
178487,Sticker | Xizt (Gold) | Cologne 2015,0.0
184091,Sticker | USTILO | Cologne 2015,12.04
186640,Sticker | Xyp9x (Foil) | Cluj-Napoca 2015,9.87
196132,Sticker | EliGE | Cluj-Napoca 2015,14.28
199350,Sticker | Martha(Holo),0.0
199579,Sticker | Kimberly(Holo),0.0
204207,Sticker | fer (Foil) | MLG Columbus 2016,17.63
211766,Sticker | seized | Cologne 2015,3.91
225781,Sticker | Ex6TenZ (Foil) | Cluj-Napoca 2015,30.93
230602,Sticker | mou (Gold) | MLG Columbus 2016,0.0
230603,Sticker | Counter Logic Gaming (Gold) | MLG Columbus 2016,0.0
230605,Sticker | Gambit Gaming (Gold) | MLG Columbus 2016,0.0
235884,Sticker | Cloud9 (Gold) | Cluj-Napoca 2015,0.0
235886,Sticker | n0thing (Gold) | Cluj-Napoca 2015,0.0
246755,Sticker | fer (Foil) | Cologne 2015,13.83
248489,Sticker | jdm64 (Gold) | Cluj-Napoca 2015,0.0
248491,Sticker | Natus Vincere (Gold) | Cluj-Napoca 2015,0.0
248492,Sticker | Counter Logic Gaming (Gold) | Cluj-Napoca 2015,0.0
250632,Sticker | Coutdown(Holo),0.0
265546,Sticker | emagine (Foil) | Cologne 2015,10.28
276045,Sticker | Happy (Gold) | Cologne 2015,0.0
276049,Sticker | Luminosity Gaming (Gold) | Cologne 2015,0.0
287309,Sticker | steel (Foil) | Cluj-Napoca 2015,13.44
287310,Sticker | Xizt (Foil) | Cluj-Napoca 2015,8.38
287836,Sticker | TaZ (Foil) | Cologne 2015,8.25
289055,Sticker | Luminosity Gaming (Gold) | Cluj-Napoca 2015,0.0
289056,Sticker | steel (Gold) | Cluj-Napoca 2015,0.0
295757,Sticker | freakazoid | Cologne 2015,11.83
300211,Sticker | Pimp (Foil) | Cluj-Napoca 2015,55.46
303730,Sticker | dennis (Foil) | Cologne 2015,9.3
304542,Sticker | PENTA Sports (Gold) | Katowice 2015,0.0
304543,Sticker | ESL One (Gold) | Katowice 2015,0.0
304544,Sticker | LGB eSports (Gold) | Katowice 2015,0.0
312234,Sticker | RpK | Cluj-Napoca 2015,8.63
312551,Sticker | KRIMZ (Foil) | Cologne 2015,10.96
315002,Sticker | Tamara(Holo),0.0
318251,Sticker | Natus Vincere (Gold) | Cologne 2015,0.0
318253,Sticker | kioShiMa (Gold) | Cologne 2015,0.0
324760,Sticker | Ex6TenZ (Foil) | Cologne 2015,16.83
326728,Sticker | denis (Foil) | Cologne 2015,8.88
327924,Sticker | f0rest (Gold) | Cologne 2015,0.0
329443,Sticker | B1ad3 (Gold) | Cluj-Napoca 2015,0.0
1762861,Sticker | cajunb (Gold) | Cologne 2015,0.0
1773150,Sticker | Edward (Gold) | Cluj-Napoca 2015,0.0
554817,Sticker | iBUYPOWER | Katowice 2014,2000.0
1913511,Sticker | GuardiaN (Gold) | MLG Columbus 2016,0.0
345202,Sticker | GruBy (Foil) | Cologne 2015,9.11
346167,Sticker | olofmeister | Cluj-Napoca 2015,4.28
346916,Sticker | chrisJ (Foil) | MLG Columbus 2016,16.04
367692,Sticker | dennis (Gold) | Cluj-Napoca 2015,0.0
387634,Sticker | karrigan (Foil) | Cologne 2015,14.82
389663,Sticker | rain (Foil) | Cologne 2015,23.13
392888,Sticker | Team EnVyUs (Gold) | MLG Columbus 2016,0.0
392890,Sticker | apEX (Gold) | MLG Columbus 2016,0.0
394143,Sticker | shox (Foil) | MLG Columbus 2016,22.41
394144,Sticker | NiKo (Foil) | MLG Columbus 2016,87.5
403996,Sticker | Ninjas in Pyjamas (Gold) | MLG Columbus 2016,0.0
403997,Sticker | Xizt (Gold) | MLG Columbus 2016,0.0
434255,Sticker | karrigan | Cologne 2015,6.01
438486,Sticker | device (Foil) | MLG Columbus 2016,47.9
439152,Sticker | allu (Foil) | Cluj-Napoca 2015,17.4
447286,Sticker | Natus Vincere (Gold) | MLG Columbus 2016,0.0
447777,Sticker | TaZ (Gold) | Cologne 2015,0.0
450475,Sticker | mousesports | Katowice 2014,459.28
451294,Sticker | byali (Foil) | MLG Columbus 2016,6.9
451295,Sticker | Sherry(Holo),0.0
453649,Sticker | flamie (Gold) | Cluj-Napoca 2015,0.0
470794,Sticker | boltz | Cluj-Napoca 2015,67.94
472154,Sticker | karrigan | Cluj-Napoca 2015,4.96
482644,Sticker | apEX (Foil) | Cluj-Napoca 2015,25.81
485133,Sticker | Team EnVyUs (Gold) | Katowice 2015,0.0
485134,Sticker | Natus Vincere (Gold) | Katowice 2015,0.0
486689,Sticker | Xyp9x (Gold) | Cluj-Napoca 2015,0.0
492803,Sticker | fer (Gold) | MLG Columbus 2016,0.0
496525,Sticker | TACO (Gold) | MLG Columbus 2016,0.0
497397,Sticker | bondik | Cluj-Napoca 2015,7.86
498286,Sticker | flusha (Foil) | Cologne 2015,11.43
499939,Sticker | Skadoodle | Cluj-Napoca 2015,13.33
517849,Sticker | nitr0 (Gold) | MLG Columbus 2016,0.0
517850,Sticker | Team Liquid (Gold) | MLG Columbus 2016,0.0
519467,Sticker | Ex6TenZ | Cluj-Napoca 2015,9.32
528553,Sticker | TSM Kinguin (Gold) | Katowice 2015,0.0
528554,Sticker | Ninjas in Pyjamas (Gold) | Katowice 2015,0.0
539604,Sticker | Astralis (Gold) | MLG Columbus 2016,0.0
539605,Sticker | device (Gold) | MLG Columbus 2016,0.0
539606,Sticker | Fnatic (Gold) | MLG Columbus 2016,0.0
542146,Sticker | B1ad3 (Foil) | Cologne 2015,16.61
543874,Sticker | adreN (Gold) | Cluj-Napoca 2015,0.0
586276,Sticker | 3DMAX (Holo) | Katowice 2014,400.0
586275,Sticker | ESL Skull (Foil) | Katowice 2014,476.94
588703,Sticker | device | Cologne 2015,6.26
591554,Sticker | flamie (Foil) | Cluj-Napoca 2015,9.4
645329,Sticker | Winged Defuser,478.05
646182,Sticker | Splyce (Gold) | MLG Columbus 2016,0.0
646183,Sticker | olofmeister (Gold) | MLG Columbus 2016,0.0
648890,Sticker | apEX (Foil) | Cologne 2015,12.11
651677,Sticker | AZR | Cologne 2015,4.0
653112,Sticker | GeT_RiGhT (Gold) | MLG Columbus 2016,0.0
659481,Sticker | kioShiMa (Foil) | Cologne 2015,9.29
659745,Sticker | denis | Cluj-Napoca 2015,7.05
662896,Sticker | tarik (Gold) | MLG Columbus 2016,0.0
673231,Sticker | cajunb (Foil) | Cluj-Napoca 2015,16.91
681711,Sticker | Maikelele (Gold) | Cluj-Napoca 2015,0.0
686751,Sticker | Team Dignitas (Foil) | Cologne 2014,0.0
686752,Sticker | ESL One Cologne 2014 (Gold),0.0
686753,Sticker | Epsilon eSports (Foil) | Cologne 2014,0.0
687979,Sticker | pronax (Foil) | Cologne 2015,11.27
689089,Sticker | FalleN (Gold) | Cologne 2015,0.0
689509,Sticker | B1ad3 (Foil) | MLG Columbus 2016,18.9
693551,Sticker | cajunb (Gold) | Cluj-Napoca 2015,0.0
694367,Sticker | GuardiaN (Foil) | Cologne 2015,11.85
694916,Sticker | Kjaerbye (Foil) | Cluj-Napoca 2015,26.9
1382152,Sticker | Titan (Holo) | Katowice 2014,69000.0
1108004,Sticker | pronax (Gold) | Cologne 2015,0.0
1109300,Sticker | olofmeister (Gold) | Cologne 2015,0.0
1121544,Sticker | Virtus.pro (Gold) | Katowice 2015,0.0
1150857,Sticker | tenzki | Cluj-Napoca 2015,10.63
1162497,Sticker | apEX (Foil) | MLG Columbus 2016,14.03
1172546,Sticker | Titan (Foil) | Cologne 2014,0.0
1172582,Sticker | Cloud9 (Foil) | Cologne 2014,0.0
1201295,Sticker | NBK- (Foil) | Cologne 2015,9.97
1210192,Sticker | FalleN (Foil) | Cologne 2015,30.7
1220300,Sticker | coldzera (Foil) | MLG Columbus 2016,26.77
1230564,Sticker | Team LDLC.com | Katowice 2014,1800.0
1248201,Sticker | FalleN (Gold) | Cluj-Napoca 2015,0.0
1257651,Sticker | yam (Foil) | Cologne 2015,16.4
1327106,Sticker | Keyd Stars (Gold) | Katowice 2015,0.0
1353586,Sticker | Blue Snowflake (Foil),0.0
1367555,Sticker | B1ad3 | Cologne 2015,5.94
1374154,Sticker | jkaem (Foil) | MLG Columbus 2016,19.0
1395447,Sticker | rain (Foil) | Cluj-Napoca 2015,48.14
1395449,Sticker | Maikelele (Foil) | Cluj-Napoca 2015,24.52
1424020,Sticker | chrisJ (Gold) | Cluj-Napoca 2015,0.0
1440969,Sticker | rallen (Foil) | Cluj-Napoca 2015,13.14
2400883,Sticker | denis (Foil) | Cluj-Napoca 2015,14.82
5328925,Sticker | TaZ (Gold) | Cluj-Napoca 2015,0.0
5355360,Sticker | Maikelele (Gold) | Cologne 2015,0.0
5378768,Sticker | Cloud9 (Foil) | DreamHack 2014,198.53
5379494,Sticker | Xyp9x (Gold) | MLG Columbus 2016,0.0
5440522,Sticker | seang@res (Gold) | Cluj-Napoca 2015,0.0
2401120,Sticker | flamie (Foil) | Cologne 2015,20.21
2403485,Sticker | tarik (Foil) | Cologne 2015,18.3
2415636,Sticker | s1mple (Gold) | MLG Columbus 2016,0.0
2417406,Sticker | yam (Gold) | Cologne 2015,0.0
2429873,Sticker | SnypeR (Foil) | Cologne 2015,8.86
2439570,Sticker | flamie (Gold) | MLG Columbus 2016,0.0
2465870,Sticker | Zeus (Foil) | Cologne 2015,8.35
2489481,Sticker | dennis (Foil) | MLG Columbus 2016,12.47
2491481,Sticker | aizy | Cluj-Napoca 2015,19.96
2493305,Sticker | FNS (Gold) | Cologne 2015,0.0
2500023,Sticker | n0thing (Gold) | MLG Columbus 2016,0.0
2501449,Sticker | flamie (Gold) | Cologne 2015,0.0
2503124,Sticker | GeT_RiGhT (Gold) | Cluj-Napoca 2015,0.0
2510672,Sticker | MSL (Foil) | Cluj-Napoca 2015,30.86
2542748,Sticker | SmithZz (Gold) | Cluj-Napoca 2015,0.0
5532806,Sticker | LGB eSports (Foil) | Katowice 2014,600.0
2547063,Sticker | Pimp | Cluj-Napoca 2015,32.46
2556761,Sticker | aizy (Gold) | Cluj-Napoca 2015,0.0
2565243,Sticker | JW (Gold) | Cologne 2015,0.0
2567114,Sticker | NBK- (Gold) | MLG Columbus 2016,0.0
5513251,Sticker | tenzki (Foil) | Cluj-Napoca 2015,30.36
5563498,Sticker | Pimp (Gold) | Cluj-Napoca 2015,0.0
5589977,Sticker | wayLander (Gold) | MLG Columbus 2016,0.0
5666617,Sticker | RpK (Foil) | Cologne 2015,22.29
5670418,Sticker | NiKo (Foil) | Cluj-Napoca 2015,111.29
5763200,Sticker | Copenhagen Wolves (Foil) | Cologne 2014,0.0
5954633,Sticker | chrisJ (Gold) | Cologne 2015,0.0
6094608,Sticker | B1ad3 (Gold) | MLG Columbus 2016,0.0
6190584,Sticker | pronax (Gold) | Cluj-Napoca 2015,0.0
6204957,Sticker | friberg (Gold) | Cologne 2015,0.0
6395183,Sticker | denis (Gold) | Cluj-Napoca 2015,0.0
6421973,Sticker | device (Gold) | Cluj-Napoca 2015,0.0
6428185,Sticker | TaZ (Gold) | MLG Columbus 2016,0.0
6556601,Sticker | nex (Gold) | Cluj-Napoca 2015,0.0
6578457,Sticker | James | Cologne 2015,22.11
6579096,Sticker | FNS (Foil) | Cluj-Napoca 2015,17.26
6625546,Sticker | Team LDLC.com (Foil) | Cologne 2014,0.0
6782082,Sticker | Polar Bears,0.0
